,Year,Month,State,Location,Food,Species,Status,Illnesses,Hospitalizations,Fatalities,FISP
38,1998,January,Illinois,Unknown,Unknown,Unknown,Unknown,11,0.0,0.0,IL
39,1998,January,Illinois,Restaurant,Unknown,Unknown,Unknown,4,1.0,,IL
40,1998,January,Indiana,Restaurant,Unknown,Shigella flexneri,Confirmed,25,3.0,0.0,IN
41,1998,January,Maryland,Private Home/Residence,"Ground Beef, Unspecified",Unknown,Unknown,3,,0.0,MD
42,1998,January,Maryland,Restaurant,Chicken Salad,Clostridium perfringens,Suspected,3,0.0,0.0,MD
43,1998,January,Maryland,Restaurant,"Burrito, Chicken",Salmonella enterica,Confirmed,4,0.0,0.0,MD
44,1998,January,Maryland,Restaurant,Unknown,Hepatitis A,Confirmed,21,,,MD
45,1998,January,Maryland,Restaurant,Unknown,Bacillus cereus,Suspected,3,0.0,0.0,MD
46,1998,January,Maryland,Restaurant,Unknown,Unknown,Unknown,2,,0.0,MD
47,1998,January,Maryland,Restaurant,Unknown,Unknown,Unknown,2,0.0,0.0,MD
48,1998,January,Maryland,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Pork, Unspecified",Unknown,Unknown,3,,0.0,MD
49,1998,January,Maryland,Restaurant,"Cake, Tiramisu; Eggs, Other",Salmonella enterica,Confirmed,8,0.0,0.0,MD
50,1998,January,Maryland,Private Home/Residence,Chicken Salad,Salmonella enterica,Confirmed,5,1.0,0.0,MD
51,1998,January,Maryland,Restaurant,Chicken Fried Rice,Clostridium perfringens,Suspected,4,0.0,0.0,MD
52,1998,January,Maryland,Restaurant,Unknown,Unknown,Unknown,4,0.0,0.0,MD
53,1998,January,Massachusetts,Restaurant,"Dips, Unspecified",Shigella sonnei,Confirmed,79,6.0,0.0,MA
54,1998,January,Massachusetts,Unknown,Unknown,Unknown,Unknown,115,0.0,0.0,MA
55,1998,January,Michigan,Unknown,"Chicken, Unspecified; Cake, Cheese",Unknown,Unknown,2,,,MI
56,1998,January,Michigan,Unknown,"Macaroni And Cheese; Chicken, Unspecified",Unknown,Unknown,6,,,MI
57,1998,January,Michigan,Unknown,Multiple Foods,Unknown,Unknown,5,,,MI
58,1998,January,Michigan,Restaurant,"Eggs, Unspecified; Pork, Bacon; Potato, Unspecified",Unknown,Unknown,2,,,MI
59,1998,January,Michigan,Unknown,Unknown,Unknown,Unknown,133,,,MI
60,1998,January,Michigan,Restaurant,Unknown,Unknown,Unknown,47,,,MI
61,1998,January,Michigan,Restaurant,"Ground Beef, Cheeseburger",Unknown,Unknown,4,,0.0,MI
62,1998,January,Michigan,Restaurant,"Rice, Unspecified; Lettuce, Unspecified",Unknown,Unknown,5,0.0,0.0,MI
63,1998,January,Michigan,Unknown,"Sandwich, Roast Beef",Unknown,Unknown,2,0.0,0.0,MI
64,1998,January,Michigan,Restaurant,"Soup Unspecified; Stew/Chili, Unspecified; Steak, Unspecified",Unknown,Unknown,3,3.0,0.0,MI
65,1998,January,Michigan,Restaurant,"Pizza, Unspecified",Unknown,Unknown,19,,,MI
66,1998,January,Michigan,Restaurant,"Eggs, Unspecified",Unknown,Unknown,3,,,MI
67,1998,January,Minnesota,Unknown,Unknown,Shigella sonnei,Confirmed,19,0.0,0.0,MN
68,1998,January,Minnesota,Restaurant,Blue Cheese Dressing,Unknown,Unknown,16,0.0,0.0,MN
69,1998,January,Multistate,Private Home/Residence,"Eggnog, Homemade",Salmonella enterica,Confirmed,4,0.0,0.0,Multi
70,1998,January,New York,Restaurant,Unknown,Salmonella enterica,Confirmed,3,1.0,0.0,NY
71,1998,January,New York,Unknown,"Sausage, Dried",Salmonella enterica,Confirmed,2,,,NY
72,1998,January,New York,Catering Service,Unspecified Fruit,Unknown,Unknown,26,0.0,0.0,NY
73,1998,January,North Carolina,Catering Service,Unknown,Norovirus genogroup I,Suspected,8,,,NC
74,1998,January,Ohio,Restaurant,Unknown,Unknown,Unknown,2,0.0,0.0,OH
75,1998,January,Ohio,Restaurant,Unknown,Unknown,Unknown,3,0.0,0.0,OH
76,1998,January,Ohio,Restaurant,Unknown,Unknown,Unknown,2,0.0,0.0,OH
77,1998,January,Ohio,Restaurant,Unknown,Unknown,Unknown,2,0.0,0.0,OH
78,1998,January,Ohio,Restaurant,"Pizza, Pepperoni",Unknown,Unknown,4,,,OH
79,1998,January,Oregon,Unknown,Unknown,Shigella boydii,Confirmed,2,,,OR
80,1998,January,Oregon,Unknown,"Homemade Cheese, Unspecified",Salmonella enterica,Confirmed,8,0.0,0.0,OR
81,1998,January,Pennsylvania,Unknown,"Cake, Unspecified; Ice Cream, Unspecified",Unknown,Unknown,23,0.0,0.0,PA
82,1998,January,Pennsylvania,Restaurant; Catering Service,"Pasta, Unspecified; Meatballs",Salmonella enterica,Confirmed,4,2.0,0.0,PA
83,1998,January,Pennsylvania,Restaurant,"Chicken, Unspecified",Unknown,Unknown,16,0.0,0.0,PA
84,1998,January,Pennsylvania,Restaurant,Unknown,Unknown,Unknown,17,0.0,0.0,PA
85,1998,January,Texas,Unknown,Turkey Salad,Staphylococcus aureus,Suspected,218,,,TX
86,1998,January,Virginia,Restaurant,Unknown,Unknown,Unknown,13,0.0,0.0,VA
87,1998,January,Washington,Restaurant,Unknown,Unknown,Unknown,3,0.0,0.0,WA
88,1998,January,Washington,Restaurant,Unknown,Unknown,Unknown,3,0.0,0.0,WA
89,1998,January,Wisconsin,Catering Service,"Beef, Unspecified",Clostridium perfringens,Confirmed,34,0.0,0.0,WI
90,1998,February,California,Restaurant,"Enchilada, Chicken",Salmonella enterica,Confirmed,10,1.0,0.0,CA
91,1998,February,Colorado,Restaurant,Onion Dip,Virus,Suspected,11,,,CO
92,1998,February,Colorado,Restaurant,"Refried Beans, Unspecified; Peppers, Chili",Clostridium perfringens,Confirmed,10,0.0,0.0,CO
93,1998,February,Colorado,Restaurant,Cream Cheese,Virus,Suspected,6,,0.0,CO
94,1998,February,Connecticut,Restaurant,"French Toast, Unspecified; Shell Eggs, Scrambled Hard",Salmonella enterica,Confirmed,10,,,CT
95,1998,February,Connecticut,School/College/University,"Deli Meat, Unspecified",Unknown,Unknown,38,,0.0,CT
96,1998,February,Florida,Restaurant,"Stir-Fry, Unspecified; Lettuce-Based Salads Unspecified",Norovirus genogroup I,Suspected,39,0.0,0.0,FL
97,1998,February,Florida,Restaurant,"Pork, Bbq; Beans, Baked",Clostridium perfringens,Suspected,3,0.0,0.0,FL
98,1998,February,Florida,Unknown,"Hot Dog, Unspecified",Unknown,Unknown,8,0.0,0.0,FL
99,1998,February,Florida,Restaurant,"Beef, Other",Clostridium perfringens,Suspected,3,0.0,0.0,FL
100,1998,February,Florida,Restaurant,"Chicken, Buffalo Wings",Unknown,Unknown,6,0.0,0.0,FL
101,1998,February,Florida,Restaurant,"Chicken, Other",Unknown,Unknown,2,1.0,0.0,FL
102,1998,February,Florida,Grocery Store,"Oil, Unspecified",Unknown,Unknown,4,0.0,0.0,FL
103,1998,February,Florida,Catering Service,"Stir-Fry, Unspecified; Caesar Salad",Norovirus genogroup I,Suspected,35,1.0,,FL
104,1998,February,Florida,Unknown,"Burrito, Unspecified",Staphylococcus aureus,Suspected,18,0.0,0.0,FL
105,1998,February,Florida,Unknown,"Hot Dog, Unspecified",Unknown,Unknown,2,0.0,0.0,FL
106,1998,February,Florida,Restaurant,Unknown,Staphylococcus aureus,Suspected,8,0.0,0.0,FL
107,1998,February,Florida,Restaurant; Grocery Store,"Pudding, Chocolate; Salad, Unspecified; Cake, Carrot",Unknown,Unknown,3,0.0,0.0,FL
108,1998,February,Florida,Restaurant,Unknown,Unknown,Unknown,5,0.0,0.0,FL
109,1998,February,Florida,Restaurant,"Salmon, Unspecified",Unknown,Unknown,2,0.0,0.0,FL
110,1998,February,Florida,Unknown,"Ethnic Style, Unspecified",Bacillus cereus,Suspected,4,0.0,0.0,FL
111,1998,February,Florida,Restaurant,"Ethnic Style, Unspecified",Unknown,Unknown,2,0.0,0.0,FL
112,1998,February,Florida,Catering Service,"Rice, Unspecified",Bacillus cereus,Suspected,50,1.0,0.0,FL
113,1998,February,Florida,Restaurant,"Tuna Dishes, Unspecified",Unknown,Unknown,2,,0.0,FL
114,1998,February,Florida,Restaurant,"Rice, Unspecified",Bacillus cereus,Suspected,43,0.0,0.0,FL
115,1998,February,Florida,Restaurant,"Cream Sauce, Unspecified",Bacillus cereus,Suspected,15,0.0,0.0,FL
116,1998,February,Florida,Restaurant,"Ground Beef, Hamburger",Unknown,Unknown,4,0.0,0.0,FL
117,1998,February,Florida,Restaurant,Wine,Unknown,Unknown,3,2.0,0.0,FL
118,1998,February,Florida,Restaurant,"Ground Beef, Hamburger",Unknown,Unknown,3,0.0,0.0,FL
119,1998,February,Illinois,Restaurant,Unknown,Unknown,Unknown,33,0.0,0.0,IL
120,1998,February,Indiana,Unknown,Macaroni Salad,Staphylococcus aureus,Confirmed,101,0.0,0.0,IN
121,1998,February,Indiana,Restaurant,"Crepe, Unspecified",Unknown,Unknown,9,0.0,0.0,IN
122,1998,February,Maryland,Restaurant,Unknown,Unknown,Unknown,8,0.0,0.0,MD
123,1998,February,Maryland,Restaurant,Unknown,Unknown,Unknown,3,,,MD
124,1998,February,Maryland,Restaurant,"Sandwich, Chicken",Unknown,Unknown,6,,,MD
125,1998,February,Maryland,Restaurant,"Eggs, Unspecified; Biscuits And Gravy",Unknown,Unknown,2,,,MD
126,1998,February,Maryland,Restaurant,Unknown,Unknown,Unknown,2,,,MD
127,1998,February,Maryland,Restaurant,Unknown,Unknown,Unknown,17,0.0,0.0,MD
128,1998,February,Michigan,Restaurant,"Sandwich, Reuben; Ground Beef, Hamburger",Unknown,Unknown,3,,,MI
129,1998,February,Michigan,Restaurant,"Chicken, Unspecified; Coleslaw",Unknown,Unknown,5,,,MI
130,1998,February,Michigan,Restaurant,"Taco, Unspecified",Unknown,Unknown,5,,,MI
131,1998,February,Michigan,Restaurant,Ice,Unknown,Unknown,4,,,MI
132,1998,February,Michigan,Restaurant,Pita,Unknown,Unknown,8,,,MI
133,1998,February,Michigan,Catering Service,"Chicken, Unspecified",Unknown,Unknown,20,,,MI
134,1998,February,Michigan,Restaurant,"Pizza, Unspecified",Unknown,Unknown,4,0.0,0.0,MI
135,1998,February,Michigan,Restaurant,Unspecified Fish; French Fries,Unknown,Unknown,2,0.0,0.0,MI
136,1998,February,Minnesota,Restaurant; Private Home/Residence,Unknown,Norovirus genogroup I,Confirmed,13,0.0,0.0,MN
137,1998,February,Minnesota,School/College/University,"Ground Beef, Unspecified",Clostridium perfringens; Staphylococcus aureus,Suspected,16,0.0,0.0,MN
138,1998,February,Mississippi,Restaurant,Unknown,Unknown,Unknown,12,,,MS
139,1998,February,Nebraska,Restaurant,"Steak, Prime Rib; Potato, Baked",Clostridium perfringens,Confirmed,45,0.0,0.0,NE
140,1998,February,New Hampshire,Catering Service,Unknown,Unknown,Unknown,16,,,NH
141,1998,February,New Jersey,Restaurant,Unknown,Shigella flexneri,Confirmed,10,6.0,0.0,NJ
142,1998,February,New York,Restaurant,Unknown,Unknown,Unknown,8,0.0,0.0,NY
143,1998,February,New York,Catering Service,"Egg Salad/Egg Salad Sandwich; Fish, White",Unknown,Unknown,23,,,NY
144,1998,February,New York,Catering Service,Unknown,Unknown,Unknown,17,0.0,0.0,NY
145,1998,February,New York,Catering Service,Unknown,Unknown,Unknown,17,1.0,0.0,NY
146,1998,February,New York,Catering Service,Unknown,Unknown,Unknown,18,,,NY
147,1998,February,New York,Restaurant,"Deli Meat, Multiple",Yersinia enterocolitica,Confirmed,9,0.0,0.0,NY
148,1998,February,North Carolina,Catering Service,Unknown,Campylobacter unknown,Confirmed,9,,,NC
149,1998,February,North Carolina,Restaurant,"Roast Beef, Unspecified",Unknown,Unknown,9,,0.0,NC
150,1998,February,Ohio,Restaurant,"Taco, Beef",Unknown,Unknown,2,1.0,0.0,OH
151,1998,February,Ohio,Restaurant,Unknown,Unknown,Unknown,3,0.0,0.0,OH
152,1998,February,Ohio,Restaurant,Unknown,Unknown,Unknown,4,,,OH
153,1998,February,Ohio,Catering Service,"Nuts, Unspecified",Unknown,Unknown,25,,,OH
154,1998,February,Ohio,Private Home/Residence,"Shrimp, Unspecified",Unknown,Unknown,2,0.0,0.0,OH
155,1998,February,Ohio,Restaurant,Unknown,Unknown,Unknown,2,0.0,0.0,OH
156,1998,February,Ohio,Restaurant,Unknown,Unknown,Unknown,3,0.0,0.0,OH
157,1998,February,Ohio,Restaurant,Unknown,Unknown,Unknown,4,0.0,0.0,OH
158,1998,February,Ohio,Restaurant,Unknown,Unknown,Unknown,4,0.0,0.0,OH
159,1998,February,Ohio,Restaurant,"Chicken, Nuggets/Fingers",Unknown,Unknown,3,1.0,0.0,OH
160,1998,February,Ohio,Restaurant,Unknown,Unknown,Unknown,2,0.0,0.0,OH
161,1998,February,Oregon,Private Home/Residence,"Oysters, Fried",Unknown,Unknown,4,0.0,0.0,OR
162,1998,February,Oregon,Nursing Home/Assisted Living Facility,Unknown,Norovirus genogroup I,Suspected,29,2.0,0.0,OR
163,1998,February,Oregon,Restaurant,Caesar Salad,Unknown,Unknown,38,0.0,0.0,OR
164,1998,February,Oregon,Restaurant,Pasta-Based Salads Unspecified,Unknown,Unknown,15,0.0,0.0,OR
165,1998,February,Pennsylvania,Restaurant,"Seafood Soup/Stew, Unspecified; Butter; Soda, Unspecified",Unknown,Unknown,20,0.0,0.0,PA
166,1998,February,Pennsylvania,Restaurant,"Soda, Unspecified; Butter; Seafood, Unspecified",Unknown,Unknown,11,0.0,0.0,PA
167,1998,February,Pennsylvania,Restaurant,"Soup, Other Seafood Chowder; Butter; Soda, Other",Unknown,Unknown,20,0.0,0.0,PA
168,1998,February,Pennsylvania,Restaurant,Unknown,Salmonella enterica,Confirmed,6,2.0,0.0,PA
169,1998,February,Pennsylvania,Restaurant,Unknown,Unknown,Unknown,15,0.0,0.0,PA
170,1998,February,Texas,Unknown,Unknown,Unknown,Unknown,2,,,TX
171,1998,February,Texas,Camp,Unknown,Unknown,Unknown,5,,,TX
172,1998,February,Texas,Restaurant,"Soup, Chicken",Staphylococcus aureus,Suspected,22,,,TX
173,1998,February,Texas,Restaurant,Unknown,Hepatitis A,Confirmed,94,,1.0,TX
174,1998,February,Washington,Restaurant,Unknown,Unknown,Unknown,4,0.0,0.0,WA
175,1998,February,Washington,Restaurant,Unknown,Unknown,Unknown,2,0.0,0.0,WA
176,1998,February,Washington,Restaurant,Unknown,Unknown,Unknown,3,0.0,0.0,WA
177,1998,March,Alabama,Restaurant,Unknown,Unknown,Unknown,3,2.0,0.0,AL
178,1998,March,Alabama,Restaurant,Unknown,Unknown,Unknown,2,0.0,0.0,AL
179,1998,March,Arkansas,Grocery Store,"Chicken, Smoked",Streptococcus group A,Confirmed,4,4.0,,AR
180,1998,March,California,Restaurant,Unknown,Salmonella enterica,Confirmed,26,,,CA
181,1998,March,California,Unknown,"Sausage, Unspecified",Unknown,Unknown,5,1.0,0.0,CA
182,1998,March,California,Restaurant,"Chile Relleno, Unspecified; Rice, Unspecified; Beans, Unspecified",Salmonella enterica,Confirmed,4,0.0,0.0,CA
183,1998,March,California,Private Home/Residence,Unknown,Unknown,Unknown,7,0.0,0.0,CA
184,1998,March,California,Private Home/Residence,"Ice Cream, Unspecified; Eggs, Other",Salmonella enterica,Confirmed,6,1.0,0.0,CA
185,1998,March,California,Private Home/Residence,"Chicken, Unspecified; Rice, Unspecified; Beans, Unspecified",Clostridium perfringens,Confirmed,48,0.0,0.0,CA
186,1998,March,California,Restaurant,"Fish, Ahi",Scombroid toxin,Confirmed,6,0.0,0.0,CA
187,1998,March,Colorado,Restaurant,Unknown,Virus,Suspected,23,,,CO
188,1998,March,Florida,Hospital,"Leaf Lettuce, Unspecified",Norovirus genogroup I,Suspected,14,,,FL
189,1998,March,Florida,Restaurant,"Salami, Unspecified",Unknown,Unknown,11,0.0,0.0,FL
190,1998,March,Florida,Restaurant,"Taco, Beef",Unknown,Unknown,2,0.0,0.0,FL
191,1998,March,Florida,Restaurant,"Nachos, Unspecified",Staphylococcus aureus,Suspected,2,0.0,0.0,FL
192,1998,March,Florida,Restaurant,"Pasta, Unspecified; Chicken, Unspecified",Unknown,Unknown,3,0.0,0.0,FL
193,1998,March,Florida,Restaurant,Multiple Foods,Unknown,Unknown,2,0.0,0.0,FL
194,1998,March,Florida,Restaurant,"Pizza, Meat",Unknown,Unknown,2,2.0,0.0,FL
195,1998,March,Florida,Restaurant,"Chicken, Bbq",Salmonella enterica,Suspected,2,0.0,0.0,FL
196,1998,March,Florida,Restaurant,"Beans, Baked",Unknown,Unknown,3,0.0,0.0,FL
197,1998,March,Florida,Restaurant,"Rice, Unspecified; Beans, Unspecified",Unknown,Unknown,2,,0.0,FL
198,1998,March,Florida,Restaurant,"Steak, Other",Unknown,Unknown,2,0.0,0.0,FL
199,1998,March,Florida,Restaurant,"Sandwich, Unspecified; Salad, Unspecified",Norovirus genogroup I,Suspected,24,0.0,0.0,FL
200,1998,March,Florida,Restaurant,"Ground Beef, Cheeseburger",Unknown,Unknown,2,0.0,0.0,FL
201,1998,March,Florida,Restaurant,"Pasta, Unspecified; Chicken, Unspecified",Unknown,Unknown,3,1.0,0.0,FL
202,1998,March,Florida,Restaurant,"Pork, Bbq",Staphylococcus aureus,Suspected,2,0.0,0.0,FL
203,1998,March,Florida,Restaurant,"Fish, Sole",Unknown,Unknown,4,0.0,0.0,FL
204,1998,March,Florida,Restaurant,"Pork, Bbq",Unknown,Unknown,2,0.0,0.0,FL
205,1998,March,Florida,Restaurant,Unknown,Unknown,Unknown,3,2.0,0.0,FL
206,1998,March,Florida,Restaurant,"Oysters, Raw",Unknown,Unknown,2,,0.0,FL
207,1998,March,Florida,Unknown,"Sauces, Unspecified",Bacillus cereus,Suspected,2,0.0,0.0,FL
208,1998,March,Florida,Restaurant,Unknown,Unknown,Unknown,2,0.0,0.0,FL
209,1998,March,Florida,Restaurant,"Chicken, Unspecified",Salmonella enterica,Suspected,4,0.0,0.0,FL
210,1998,March,Florida,Restaurant,Ice,Norovirus genogroup I,Suspected,7,0.0,0.0,FL
211,1998,March,Florida,Restaurant,"Cream, Unspecified",Unknown,Unknown,2,0.0,0.0,FL
212,1998,March,Florida,Restaurant,"Enchilada, Chicken",Salmonella enterica,Suspected,3,0.0,0.0,FL
213,1998,March,Florida,Restaurant,Ice,Norovirus genogroup I,Suspected,8,0.0,0.0,FL
214,1998,March,Florida,School/College/University,"Hot Dog, Unspecified",Salmonella enterica,Confirmed,2,1.0,0.0,FL
215,1998,March,Florida,Restaurant,"Sandwich, Chicken",Staphylococcus aureus,Suspected,3,0.0,0.0,FL
216,1998,March,Florida,Restaurant,Unknown,Unknown,Unknown,3,0.0,0.0,FL
217,1998,March,Florida,Restaurant,Coleslaw,Unknown,Unknown,3,0.0,0.0,FL
218,1998,March,Florida,Restaurant,"Steak, Other",Salmonella enterica,Suspected,2,0.0,0.0,FL
219,1998,March,Florida,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Beans, Unspecified",Unknown,Unknown,2,0.0,0.0,FL
220,1998,March,Florida,Private Home/Residence,"Cake, Chocolate",Unknown,Unknown,2,0.0,0.0,FL
221,1998,March,Florida,Private Home/Residence,"Bread, Cornbread; Chicken, Unspecified; Ham, Unspecified",Clostridium perfringens,Suspected,18,0.0,0.0,FL
222,1998,March,Florida,School/College/University,Unknown,Norovirus genogroup I,Confirmed,44,0.0,0.0,FL
223,1998,March,Florida,Restaurant,Unknown,Campylobacter unknown,Confirmed,4,0.0,0.0,FL
224,1998,March,Florida,Restaurant,"Cake, Unspecified; Water; Potato, Unspecified",Unknown,Unknown,4,0.0,0.0,FL
225,1998,March,Hawaii,Private Home/Residence,Unspecified Fish,Ciguatoxin,Confirmed,2,0.0,0.0,HI
226,1998,March,Hawaii,Restaurant,"Tart, Fruit",Unknown,Unknown,39,0.0,0.0,HI
227,1998,March,Hawaii,Restaurant,"Fish, Swordfish",Scombroid toxin,Confirmed,2,0.0,0.0,HI
228,1998,March,Illinois,Restaurant,Unknown,Unknown,Unknown,6,0.0,0.0,IL
229,1998,March,Illinois,Restaurant,Hollandaise Sauce,Salmonella enterica,Confirmed,2,0.0,0.0,IL
230,1998,March,Illinois,Restaurant,"Mixed Fruit; Roast Beef, Unspecified",Norovirus genogroup II,Confirmed,103,1.0,0.0,IL
231,1998,March,Illinois,Restaurant,Unknown,Unknown,Unknown,3,0.0,0.0,IL
232,1998,March,Illinois,Restaurant,Unknown,Unknown,Unknown,9,0.0,0.0,IL
233,1998,March,Maryland,Restaurant,Shrimp Salad,Unknown,Unknown,11,1.0,,MD
234,1998,March,Maryland,Office/Indoor Workplace,Unknown,Hepatitis A,Confirmed,5,,,MD
235,1998,March,Maryland,Restaurant; Catering Service,"Milkshake; Nachos, Unspecified",Norovirus genogroup I,Suspected,26,0.0,0.0,MD
236,1998,March,Maryland,Restaurant,Unknown,Unknown,Unknown,3,,,MD
237,1998,March,Maryland,Restaurant,"Other Cheese, Unspecified; French Fries",Unknown,Unknown,3,0.0,0.0,MD
238,1998,March,Maryland,Unknown,Unknown,Unknown,Unknown,3,0.0,0.0,MD
239,1998,March,Maryland,Restaurant,Unknown,Unknown,Unknown,3,0.0,0.0,MD
240,1998,March,Maryland,Restaurant,"Chicken, Unspecified",Unknown,Unknown,2,0.0,0.0,MD
241,1998,March,Massachusetts,Restaurant,Unknown,Salmonella enterica,Confirmed,6,,,MA
242,1998,March,Michigan,Restaurant,"Chili Sauce, Unspecified; Hot Dog, Unspecified",Unknown,Unknown,3,,,MI
243,1998,March,Michigan,Restaurant,"French Toast, Unspecified; Beef, Jerky",Unknown,Unknown,2,,,MI
244,1998,March,Michigan,Restaurant,"Pizza, Unspecified",Unknown,Unknown,5,,,MI
245,1998,March,Michigan,Unknown,Unknown,Unknown,Unknown,11,,,MI
246,1998,March,Michigan,Restaurant,"Sushi, Unspecified",Unknown,Unknown,2,0.0,0.0,MI
247,1998,March,Michigan,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Salad, Unspecified",Unknown,Unknown,2,1.0,0.0,MI
248,1998,March,Michigan,Unknown,"Shrimp, Unspecified; Caesar Salad",Unknown,Unknown,3,,,MI
249,1998,March,Michigan,Restaurant,"Sandwich, Submarine",Unknown,Unknown,15,0.0,0.0,MI
250,1998,March,Minnesota,Restaurant,Pasta Salad,Shigella sonnei,Confirmed,30,1.0,0.0,MN
251,1998,March,Minnesota,Restaurant,"Potato Salad; Vegetable Dip, Unspecified",Unknown,Unknown,7,0.0,0.0,MN
252,1998,March,Minnesota,Restaurant,Unknown,Unknown,Unknown,4,0.0,0.0,MN
253,1998,March,New Hampshire,Catering Service,Unknown,Unknown,Unknown,12,,,NH
254,1998,March,New Mexico,Restaurant,"Milk, 1% Milk Unpasteurized; Sauces, Unspecified",Staphylococcus aureus,Confirmed,20,3.0,0.0,NM
255,1998,March,New York,Restaurant,Multiple Foods,Unknown,Unknown,17,0.0,0.0,NY
256,1998,March,New York,Restaurant,"Chicken, Unspecified",Unknown,Unknown,5,,,NY
257,1998,March,New York,Unknown,Multiple Foods,Unknown,Unknown,47,,,NY
258,1998,March,New York,Restaurant,"Salad, Unspecified",Unknown,Unknown,14,0.0,0.0,NY
259,1998,March,New York,Restaurant,Unknown,Unknown,Unknown,9,0.0,0.0,NY
260,1998,March,North Carolina,Unknown,Unknown,Salmonella enterica,Confirmed,9,,,NC
261,1998,March,North Carolina,Prison/Jail,"Sandwich, Submarine",Norovirus genogroup I,Confirmed,75,,,NC
262,1998,March,Ohio,Restaurant,"Chicken, Fried",Unknown,Unknown,2,0.0,0.0,OH
